Kreis_code;Landkreis;Anzahl_Ladepunkte_0425
14523;Landkreis Vogtlandkreis;255
14524;Landkreis Zwickau;709
15001;Kreisfreie Stadt Dessau-Roßlau;116
15002;Kreisfreie Stadt Halle (Saale);251
15003;Kreisfreie Stadt Magdeburg;317
15081;Landkreis Altmarkkreis Salzwedel;88
15082;Landkreis Anhalt-Bitterfeld;202
15083;Landkreis Börde;267
15084;Landkreis Burgenlandkreis;239
15085;Landkreis Harz;289
15086;Landkreis Jerichower Land;68
15087;Landkreis Mansfeld-Südharz;195
15088;Landkreis Saalekreis;219
15089;Landkreis Salzlandkreis;217
15090;Landkreis Stendal;250
15091;Landkreis Wittenberg;80
1051;Kreis Dithmarschen;363
1053;Kreis Herzogtum Lauenburg;284
1054;Kreis Nordfriesland;701
1055;Kreis Ostholstein;625
1056;Kreis Pinneberg;513
1057;Kreis Plön;239
1058;Kreis Rendsburg-Eckernförde;646
1059;Kreis Schleswig-Flensburg;555
1060;Kreis Segeberg;415
1061;Kreis Steinburg;191
1062;Kreis Stormarn;534
1001;Kreisfreie Stadt Flensburg;265
1002;Kreisfreie Stadt Kiel;513
1003;Kreisfreie Stadt Lübeck;461
1004;Kreisfreie Stadt Neumünster;282
16051;Kreisfreie Stadt Erfurt;361
16052;Kreisfreie Stadt Gera;194
16053;Kreisfreie Stadt Jena;208
16054;Kreisfreie Stadt Suhl;69
16055;Kreisfreie Stadt Weimar;148
16058;Landkreis Altenburger Land;115
16061;Landkreis Eichsfeld;189
16064;Landkreis Gotha;167
16066;Landkreis Greiz;99
16067;Landkreis Hildburghausen;99
16070;Landkreis Ilm-Kreis;237
16065;Landkreis Kyffhäuserkreis;71
16062;Landkreis Nordhausen;126
16074;Landkreis Saale-Holzland-Kreis;160
16075;Landkreis Saale-Orla-Kreis;184
16073;Landkreis Saalfeld-Rudolstadt;139
16069;Landkreis Schmalkalden-Meiningen;212
16068;Landkreis Sömmerda;75
16072;Landkreis Sonneberg;79
16060;Landkreis Unstrut-Hainich-Kreis;125
16063;Landkreis Wartburgkreis;188
16076;Landkreis Weimarer Land;142
