Tabelle: 43311-0001
Elektrizitätserzeugung, Nettowärmeerzeugung,;;;;;
Brennstoffeinsatz: Deutschland, Jahre, Energieträger;;;;;
Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;;;;;;;;;
Deutschland;;;;;;;;;
;;Elektrizitätserzeugung (brutto);;Elektrizitätserzeugung (netto);;Nettowärmeerzeugung;;Brennstoffeinsatz;
;;MWh;MWh;MWh;MWh;MWh;MWh;GJ;GJ
;Sonstige hergestellte Gase;24068;e;24068;e;44741;e;263786;e
;Wasserstoff;-;;-;;-;;-;
;Laufwasser;15672890;e;15383158;e;-;;-;
;Speicherwasser;809692;e;802455;e;-;;-;
;Pumpspeicherwasser;6521038;e;6415566;e;-;;-;
;Pumpspeicher mit natürlichem Zufluss;-;;-;;-;;-;
;Pumpspeicher ohne natürlichen Zufluss;-;;-;;-;;-;
;Windkraft;462230;e;459917;e;-;;-;
;Photovoltaik;7306;e;7306;e;-;;-;
;Geothermie;17325;e;12078;e;42001;e;-;
;Wärmepumpen (Erd- und Umweltwärme);-;;-;;-;;-;
;Solarthermie;-;;-;;-;;-;
;Feste biogene Stoffe;2876040;e;2635183;e;2006578;e;41655970;e
;Flüssige biogene Stoffe;53947;e;52248;e;27664;e;472472;e
;Biogas;58691;e;56019;e;61829;e;705027;e
;Biomethan (Bioerdgas);-;;-;;-;;-;
;Klärgas;29085;e;27483;e;35443;e;422513;e
;Deponiegas;160309;e;153170;e;86060;e;1746940;e
;Sonstige erneuerbare Energien;434;e;434;e;-;;-;
;Klärschlamm;142462;e;130660;e;13866;e;1391109;e
;Abfall (Hausmüll, Industrie);8978515;e;7049002;e;10755536;e;165788540;e
;Abfall (Industrie);-;;-;;-;;-;
;Abfall (Hausmüll, Siedlungsabfälle);-;;-;;-;;-;
;Kernenergie;148495245;e;140710087;e;-;;-;
;Wärme;-;;-;;-;;-;
;Strom (Elektrokessel);-;;-;;-;;-;
