Hersteller;Modell;Antrieb;Leistung (kW);Grundpreis ;10k;15k;20k;30k;Strom_cent_kWh;Segment
BMW;520i Touring Steptronic;SP;153;61000;125,4;91,1;74;58,3;18;Obere Mittelklasse
BMW;520d Touring Steptronic;D;145;63300;134,3;95,9;76,6;59,1;18;Obere Mittelklasse
BMW;550e Touring xDrive Steptronic;SP/E;360;80340;140,5;101,4;82,1;64,3;18;Obere Mittelklasse
BMW;M340i Touring xDrive Steptronic Sport;SP;275;77900;147,6;109,7;90,7;73,1;18;Mittelklasse
BMW;M340d Touring xDrive Steptronic Sport;D;250;77900;143,2;104,7;85,4;68,5;18;Mittelklasse
BMW;550e xDrive Steptronic;SP/E;360;77900;140,6;101,3;81,8;63,8;18;Obere Mittelklasse
BMW;M340i xDrive Steptronic Sport;SP;275;76600;147;109;89,9;72,3;18;Mittelklasse
BMW;M340d xDrive Steptronic Sport;D;250;76600;146,8;106,9;86,9;69,3;18;Mittelklasse
BMW;750e Design Pure Excellence xDrive Steptronic Sport;SP/E;360;126300;232,7;164;129,8;97,2;18;Oberklasse
BMW;740d Design Pure Excellence xDrive Steptronic Sport;D;220;118200;240;169,1;133,4;100;18;Oberklasse
BMW;i4 eDrive35;E;210;57500;106,3;76,3;61,1;46,7;18;Obere Mittelklasse 
BMW;420i Gran Coupé Steptronic;SP;135;53300;105,1;78;64,6;52;18;Obere Mittelklasse 
BMW;420d Gran Coupé Steptronic;D;140;56100;109,3;79,1;64,1;50,5;18;Obere Mittelklasse 
BMW;i4 eDrive40;E;250;60500;110,3;79,2;63,5;48,6;18;Obere Mittelklasse 
BMW;i4 M50;E;400;72100;126,2;91,8;74,5;58,4;18;Obere Mittelklasse 
BMW;M440i Gran Coupé xDrive Steptronic Sport;SP;275;76700;139,8;104,4;86,6;70,3;18;Obere Mittelklasse 
BMW;i4 xDrive40;E;295;64000;116,5;84,2;68;52,5;18;Obere Mittelklasse 
BMW;i5 eDrive40;E;250;70200;132,3;95,1;76,1;57,9;18;Obere Mittelklasse
BMW;i5 M60 xDrive;E;442;99500;174,6;126,3;101,6;78,2;18;Obere Mittelklasse
BMW;M3;SP;353;95100;187;140,1;119;96,9;18;Mittelklasse
BMW;i5 Touring eDrive40;E;250;72200;133,8;96,5;77,5;59,2;18;Obere Mittelklasse
BMW;i5 Touring M60 xDrive;E;442;101500;175,1;126,9;102,3;79;18;Obere Mittelklasse
BMW;M3 Competition Touring M xDrive Steptronic;SP;390;107200;202;150,9;127,8;103,8;18;Mittelklasse
BMW;i7 eDrive50 Design Pure Excellence;E;335;115700;202,9;142,2;112;82,7;18;Oberklasse
BMW;iX M70 xDrive;E;485;124900;198,6;143,2;116;89,6;18;Oberklasse-SUV
BMW;iX xDrive45;E;300;83500;147,1;107,4;87,8;69,1;18;Oberklasse-SUV
BMW;X5 xDrive40i Steptronic Sport;SP;280;94300;174,6;129;106,8;85,9;18;Oberklasse-SUV
BMW;X5 xDrive30d Steptronic Sport;D;219;89900;174;127;103,5;82,4;18;Oberklasse-SUV
BMW;iX xDrive60;E;400;99900;165,8;119,9;97,2;75,5;18;Oberklasse-SUV
BMW;X6 xDrive40i M Sportpaket Steptronic Sport;SP;280;101900;189,1;139,8;115,7;93;18;Oberklasse-SUV 
BMW;X7 xDrive40d Steptronic Sport;D;259;107600;192,7;140,7;114,8;91,8;18;Oberklasse-SUV
BMW;iX1 eDrive20;E;150;48800;89,1;65,8;53,2;42;18;Kompakt-SUV
BMW;X2 sDrive20i Steptronic (DKG);SP;125;48100;95,4;72,2;60;49,2;18;Kompakt-SUV 
BMW;X2 sDrive18d Steptronic (DKG);D;110;48700;92,7;69;57,2;46,2;18;Kompakt-SUV 
BMW;iX2 eDrive20;E;150;50300;93,2;68,8;55,7;44;18;Kompakt-SUV 
BMW;iX3 Inspiring;E;210;67300;116,9;84,9;68,7;53,4;18;Mittelklasse-SUV
BMW;X4 xDrive20i Steptronic;SP;135;60500;121,2;90,1;74,5;60;18;Mittelklasse-SUV 
