name,type,lat,lon,capacity_mw
Unbekannt,Wind,50.66745439,13.33151712,1.5
Unbekannt,Wind,51.18022644,12.94386732,1.5
Unbekannt,Wind,51.18022644,12.94386732,1.5
Unbekannt,Wind,51.08858605,14.66618951,1.5
Unbekannt,Wind,50.12547096,10.84256772,1.5
Unbekannt,Wind,51.23065549,13.02810109,1.5
Unbekannt,Wind,50.66745439,13.33151712,1.5
Unbekannt,Wind,50.66745439,13.33151712,1.5
Unbekannt,Wind,50.66745439,13.33151712,1.5
Unbekannt,Wind,51.23065549,13.02810109,1.5
Unbekannt,Wind,51.23065549,13.02810109,1.5
Unbekannt,Wind,50.27406609,6.542369466,1.5
Unbekannt,Wind,53.35891217,7.257672336,1.5
Unbekannt,Wind,50.66745439,13.33151712,1.5
Unbekannt,Wind,54.05300117,9.348775742,1.05
Unbekannt,Wind,51.62228829,11.63529899,1.3
Unbekannt,Wind,51.62228829,11.63529899,1.3
Unbekannt,Wind,53.54859879,14.28310292,1.05
Unbekannt,Wind,51.62228829,11.63529899,1.3
Unbekannt,Wind,54.01374969,11.68962555,1.3
Unbekannt,Wind,51.72683667,9.038183361,1.3
Unbekannt,Wind,54.01374969,11.68962555,1.3
Unbekannt,Wind,51.23065549,13.02810109,1.5
Unbekannt,Wind,54.72623921,9.662179808,1.65
Unbekannt,Wind,54.05300117,9.348775742,1.05
Unbekannt,Wind,54.01374969,11.68962555,1.3
Unbekannt,Wind,51.62228829,11.63529899,1.3
Unbekannt,Wind,51.23065549,13.02810109,1.5
Unbekannt,Wind,54.01374969,11.68962555,1.3
Unbekannt,Wind,52.24179202,9.841099253,1.5
Unbekannt,Wind,51.62228829,11.63529899,1.3
Unbekannt,Wind,52.24179202,9.841099253,1.5
Unbekannt,Wind,54.05300117,9.348775742,1.05
Unbekannt,Wind,51.72683667,9.038183361,1.3
Unbekannt,Wind,51.62228829,11.63529899,1.3
Unbekannt,Wind,54.05300117,9.348775742,1.05
Unbekannt,Wind,51.23065549,13.02810109,1.5
Unbekannt,Wind,54.05300117,9.348775742,1.05
Unbekannt,Wind,54.72623921,9.662179808,1.65
Unbekannt,Wind,51.62228829,11.63529899,1.3
Unbekannt,Wind,51.10494207,10.65248767,1.3
Unbekannt,Wind,53.44587968,13.833535,1.05
Unbekannt,Wind,51.62228829,11.63529899,1.3
Unbekannt,Wind,51.23065549,13.02810109,1.5
Unbekannt,Wind,50.04622206,12.17514782,1.2
Unbekannt,Wind,53.44587968,13.833535,1.05
Unbekannt,Wind,53.44587968,13.833535,1.05
Unbekannt,Wind,51.40485894,8.601664951,1.5
Unbekannt,Wind,53.35891217,7.257672336,1.5
Unbekannt,Wind,54.05716435,9.472394716,1.65
Unbekannt,Wind,52.5511894,9.468137185,1.3
Unbekannt,Wind,54.05716435,9.472394716,1.65
Unbekannt,Wind,53.44587968,13.833535,1.05
Unbekannt,Wind,51.59158468,11.90661889,1.5
Unbekannt,Bioenergy,49.3477691,6.942673888,2.61
Unbekannt,Wind,54.05716435,9.472394716,1.65
Unbekannt,Wind,53.44587968,13.833535,1.05
Unbekannt,Wind,54.72623921,9.662179808,2.0
Unbekannt,Wind,54.05716435,9.472394716,1.65
Unbekannt,Wind,51.59158468,11.90661889,1.5
Unbekannt,Wind,52.5511894,9.468137185,1.3
Unbekannt,Wind,54.05716435,9.472394716,1.65
Unbekannt,Wind,53.81037717,8.914553403,1.5
Unbekannt,Wind,52.5511894,9.468137185,1.3
Unbekannt,Wind,52.5511894,9.468137185,1.3
Unbekannt,Wind,51.61598127,12.12468141,1.5
Unbekannt,Wind,54.05716435,9.472394716,1.65
Unbekannt,Wind,50.77268417,6.045052118,1.5
Unbekannt,Wind,54.12293359,13.05498289,1.3
Unbekannt,Wind,50.85882953,13.6294847,1.5
Unbekannt,Wind,50.77268417,6.045052118,1.5
Unbekannt,Wind,53.40364667,7.402923384,1.5
Unbekannt,Wind,54.11536078,9.405588436,1.5
Unbekannt,Wind,54.31855789,10.89813821,1.5
Unbekannt,Wind,54.31855789,10.89813821,1.5
Unbekannt,Wind,54.11536078,9.405588436,1.5
Unbekannt,Wind,53.38812578,9.438665146,1.3
Unbekannt,Wind,53.38812578,9.438665146,1.8
Unbekannt,Wind,51.40485894,8.601664951,1.5
Unbekannt,Wind,53.83233449999999,9.272405329,1.5
Unbekannt,Wind,51.72683667,9.038183361,1.05
Unbekannt,Wasserkraft,51.07252708,13.04334176,1.2
Unbekannt,Wind,53.40364667,7.402923384,1.5
Unbekannt,Wind,51.65804063,11.39648027,1.5
Unbekannt,Wind,52.14778946,11.20050752,1.3
Unbekannt,Wind,52.23231882,11.27810467,1.3
Unbekannt,Bioenergy,51.55799478,7.241853091,1.922
Unbekannt,Wind,53.40364667,7.402923384,1.5
Unbekannt,Wind,52.85832729999999,7.229688418,1.5
Unbekannt,Wind,49.71270522,6.826569773,1.3
Unbekannt,Wind,51.53606122,11.77748373,1.5
Unbekannt,Wind,53.99000403,9.832629765,1.65
Unbekannt,Wind,51.53606122,11.77748373,1.5
Unbekannt,Wind,51.08467869,10.74767032,1.5
Unbekannt,Wind,51.65804063,11.39648027,1.5
Unbekannt,Wind,53.99000403,9.832629765,1.65
Unbekannt,Wind,51.53606122,11.77748373,1.5
Unbekannt,Wind,53.99000403,9.832629765,1.65
Unbekannt,Wind,51.53606122,11.77748373,1.5
Unbekannt,Wind,51.43490246,11.41302667,1.05
Unbekannt,Wind,54.32449622,11.04372963,1.65
Unbekannt,Wind,52.95751309,9.019585658,1.3
Unbekannt,Wind,51.08858605,14.66618951,1.5
Unbekannt,Wind,53.99000403,9.832629765,1.65
Unbekannt,Wind,51.77502844,12.62029757,1.5
Unbekannt,Wind,53.82318561,9.618958662,1.5
Unbekannt,Wind,51.65804063,11.39648027,1.5
Unbekannt,Wind,51.53606122,11.77748373,1.5
Unbekannt,Wind,51.77502844,12.62029757,1.5
Unbekannt,Wind,53.99000403,9.832629765,1.65
Unbekannt,Wind,51.08467869,10.74767032,1.5
Unbekannt,Wind,51.13313691,13.13521646,1.5
Unbekannt,Wind,51.43490246,11.41302667,1.05
Unbekannt,Wind,53.40364667,7.402923384,1.5
Unbekannt,Wind,53.66041721,13.5505001,1.3
Unbekannt,Wind,51.77502844,12.62029757,1.5
Unbekannt,Wind,53.40364667,7.402923384,1.5
Unbekannt,Wind,51.92478368,12.44189854,1.3
Unbekannt,Wind,53.99000403,9.832629765,1.65
Unbekannt,Wind,51.53606122,11.77748373,1.5
Unbekannt,Wind,53.85395579999999,13.44482507,1.5
Unbekannt,Wind,51.95134377,7.034174527,1.5
Unbekannt,Wind,51.65804063,11.39648027,1.5
Unbekannt,Wind,51.13313691,13.13521646,1.5
Unbekannt,Wind,51.53606122,11.77748373,1.5
Unbekannt,Wind,53.12758273,12.13257888,1.5
Unbekannt,Wind,51.65804063,11.39648027,1.5
Unbekannt,Wind,51.92478368,12.44189854,1.3
Unbekannt,Wind,53.85395579999999,13.44482507,1.5
Unbekannt,Wind,51.53606122,11.77748373,1.5
Unbekannt,Wind,51.13313691,13.13521646,1.5
Unbekannt,Wind,53.12758273,12.13257888,1.5
Unbekannt,Wind,52.1532484,11.46268005,1.5
Unbekannt,Wasserkraft,47.65134061,10.44668961,1.2
Unbekannt,Wasserkraft,47.57177288,10.76201675,4.992
Unbekannt,Wind,53.40364667,7.402923384,1.5
Unbekannt,Wind,53.82318561,9.618958662,1.5
Unbekannt,Wasserkraft,51.42949494,6.887392302,3.0
Unbekannt,Wind,53.83233449999999,9.272405329,1.5
Unbekannt,Wasserkraft,51.42949494,6.887392302,2.3
Unbekannt,Wasserkraft,51.42949494,6.887392302,1.35
Unbekannt,Bioenergy,49.76816622,6.560961784,1.025
Unbekannt,Wind,53.77295253,11.9579544,1.5
Unbekannt,Wind,53.46629565,11.43570149,1.5
Unbekannt,Wasserkraft,48.09331482,8.089816972,1.12
Unbekannt,Wasserkraft,49.41629757,8.687613285,2.6
Unbekannt,Bioenergy,51.40485894,8.601664951,12.5
Unbekannt,Bioenergy,48.37957077,10.01035387,1.947
Unbekannt,Wind,50.33602659,11.57193368,1.5
Unbekannt,Wasserkraft,48.05524695,11.51622098,3.1
Unbekannt,Wasserkraft,49.54011576,12.32987572,3.3
Unbekannt,Wasserkraft,48.89841404,11.87955867,3.0
Unbekannt,Wasserkraft,48.46313452,8.948272741,1.56
Unbekannt,Wasserkraft,48.47240036,11.83077209,4.1
Unbekannt,Wind,53.65419773,8.634761691,1.3
Unbekannt,Wasserkraft,49.72250583,11.06433166,2.8
Unbekannt,Wind,53.36232483,7.116577385,1.5
Unbekannt,Wind,54.21841986,10.88442735,1.5
Unbekannt,Wind,53.83233449999999,9.272405329,1.65
Unbekannt,Wasserkraft,48.97272183,11.69230512,4.0
Unbekannt,Wasserkraft,47.65382977,11.56610249,3.0
Unbekannt,Wind,48.99745936,10.74328686,1.5
Unbekannt,Wasserkraft,49.18349519,11.21297963,3.3
Unbekannt,Wind,51.13313691,13.13521646,1.5
Unbekannt,Wind,51.08467869,10.74767032,1.5
Unbekannt,Wind,53.12758273,12.13257888,1.5
Unbekannt,Wind,51.53606122,11.77748373,1.5
Unbekannt,Wind,53.12758273,12.13257888,1.5
Unbekannt,Wind,53.40364667,7.402923384,1.5
Unbekannt,Wind,51.13313691,13.13521646,1.5
Unbekannt,Wind,51.65804063,11.39648027,1.5
Unbekannt,Wind,53.28528215,13.92949647,1.5
Unbekannt,Wind,51.65804063,11.39648027,1.5
Unbekannt,Wind,52.85296517,8.738710012,1.3
